       E(mm)      EU(mm)      EL(mm)      ED(mm)       W(mm)      WU(mm)      WL(mm)      WD(mm)       R(mm)      RG(mm)      RS(mm)     Q(m3/d)    QS(m3/d)    QG(m3/d)
           0.559             0.559             0.000             0.000           178.465             1.302            51.599           125.564             0.662             0.176             0.486             0.197             0.062             0.135
           1.658             1.502             0.157             0.000           177.006             0.000            51.442           125.564             0.000             0.000             0.000             0.187             0.062             0.125
           1.250             0.000             1.250             0.000           175.756             0.000            50.192           125.564             0.000             0.000             0.000             0.157             0.042             0.116
           1.023             0.000             1.023             0.000           174.734             0.000            49.169           125.564             0.000             0.000             0.000             0.135             0.028             0.107
           1.119             1.119             0.000             0.000           175.163             0.429            49.169           125.564             0.352             0.095             0.256             0.158             0.040             0.118
           1.036             0.429             0.607             0.000           174.127             0.000            48.562           125.564             0.000             0.000             0.000             0.148             0.038             0.110
           1.297             0.900             0.397             0.000           173.729             0.000            48.165           125.564             0.000             0.000             0.000             0.126             0.025             0.102
           0.510             0.000             0.510             0.000           173.220             0.000            47.656           125.564             0.000             0.000             0.000             0.110             0.016             0.094
           0.803             0.000             0.803             0.000           172.417             0.000            46.852           125.564             0.000             0.000             0.000             0.097             0.010             0.087
           0.790             0.000             0.790             0.000           171.627             0.000            46.063           125.564             0.000             0.000             0.000             0.086             0.005             0.081
           0.957             0.000             0.957             0.000           170.670             0.000            45.106           125.564             0.000             0.000             0.000             0.078             0.003             0.075
           1.202             0.000             1.202             0.000           169.468             0.000            43.904           125.564             0.000             0.000             0.000             0.072             0.002             0.070
           1.156             1.156             0.000             0.000           171.852             2.384            43.904           125.564             1.859             0.517             1.342             0.280             0.118             0.163
           0.485             0.485             0.000             0.000           174.413             4.945            43.904           125.564             2.054             0.563             1.492             0.527             0.267             0.260
           2.313             2.313             0.000             0.000           172.301             2.833            43.904           125.564             0.000             0.000             0.000             0.486             0.246             0.241
           2.163             2.163             0.000             0.000           170.138             0.669            43.904           125.564             0.000             0.000             0.000             0.387             0.164             0.223
           1.341             0.669             0.672             0.000           168.796             0.000            43.232           125.564             0.000             0.000             0.000             0.316             0.109             0.207
           1.118             0.000             1.118             0.000           167.678             0.000            42.114           125.564             0.000             0.000             0.000             0.264             0.072             0.192
           1.089             0.000             1.089             0.000           166.588             0.000            41.024           125.564             0.000             0.000             0.000             0.226             0.048             0.178
           1.362             0.500             0.862             0.000           165.727             0.000            40.162           125.564             0.000             0.000             0.000             0.197             0.032             0.165
           0.819             0.000             0.819             0.000           164.908             0.000            39.344           125.564             0.000             0.000             0.000             0.172             0.019             0.153
           1.156             0.000             1.156             0.000           163.752             0.000            38.187           125.564             0.000             0.000             0.000             0.148             0.006             0.142
           1.302             0.600             0.702             0.000           163.050             0.000            37.485           125.564             0.000             0.000             0.000             0.131             0.000             0.131
           1.295             0.900             0.395             0.000           162.655             0.000            37.091           125.564             0.000             0.000             0.000             0.122             0.000             0.122
           1.169             0.200             0.969             0.000           161.686             0.000            36.122           125.564             0.000             0.000             0.000             0.113             0.000             0.113
           1.246             0.000             1.246             0.000           160.440             0.000            34.876           125.564             0.000             0.000             0.000             0.104             0.000             0.104
           1.052             0.000             1.052             0.000           159.388             0.000            33.824           125.564             0.000             0.000             0.000             0.097             0.000             0.097
           0.848             0.000             0.848             0.000           158.539             0.000            32.975           125.564             0.000             0.000             0.000             0.090             0.000             0.090
           0.969             0.000             0.969             0.000           157.570             0.000            32.006           125.564             0.000             0.000             0.000             0.083             0.000             0.083
           0.953             0.000             0.953             0.000           156.617             0.000            31.052           125.564             0.000             0.000             0.000             0.077             0.000             0.077
           0.932             0.932             0.000             0.000           161.282             4.665            31.052           125.564             3.202             0.959             2.243             0.452             0.216             0.235
           2.275             2.275             0.000             0.000           159.907             3.290            31.052           125.564             0.000             0.000             0.000             0.478             0.260             0.218
           2.089             2.089             0.000             0.000           159.218             2.601            31.052           125.564             0.000             0.000             0.000             0.375             0.173             0.202
           0.559             0.559             0.000             0.000           172.571            15.954            31.052           125.564             9.888             3.635             6.253             1.580             0.935             0.644
           1.156             1.156             0.000             0.000           171.715            15.098            31.052           125.564             0.000             0.000             0.000             1.659             1.062             0.597
           2.014             2.014             0.000             0.000           171.763            15.146            31.052           125.564             0.038             0.010             0.027             1.264             0.709             0.556
           2.089             2.089             0.000             0.000           175.532            18.915            31.052           125.564             3.042             0.830             2.211             1.337             0.660             0.676
           2.648             2.648             0.000             0.000           172.884            16.267            31.052           125.564             0.000             0.000             0.000             1.167             0.540             0.627
           2.499             2.499             0.000             0.000           170.385            13.768            31.052           125.564             0.000             0.000             0.000             0.936             0.355             0.581
           1.753             1.753             0.000             0.000           168.732            12.115            31.052           125.564             0.000             0.000             0.000             0.768             0.229             0.539
           1.753             1.753             0.000             0.000           168.758            12.141            31.052           125.564             0.020             0.006             0.015             0.654             0.154             0.501
           1.231             1.231             0.000             0.000           173.782            17.165            31.052           125.564             3.945             1.093             2.852             1.005             0.333             0.672
           2.051             2.051             0.000             0.000           177.858            21.241            31.052           125.564             3.373             0.908             2.465             1.335             0.532             0.803
           1.268             1.268             0.000             0.000           178.685            22.068            31.052           125.564             0.705             0.187             0.518             1.288             0.506             0.782
           1.977             1.977             0.000             0.000           176.708            20.091            31.052           125.564             0.000             0.000             0.000             1.080             0.355             0.725
           1.529             1.529             0.000             0.000           179.664            23.047            31.052           125.564             2.515             0.667             1.848             1.188             0.381             0.807
