       E(mm)      EU(mm)      EL(mm)      ED(mm)       W(mm)      WU(mm)      WL(mm)      WD(mm)       R(mm)      RG(mm)      RS(mm)     Q(m3/d)    QS(m3/d)    QG(m3/d)
           0.754             0.000             0.754             0.000           191.082             0.000            57.312           133.770             0.000             0.000             0.000             0.008             0.000             0.008
           0.899             0.000             0.899             0.000           190.183             0.000            56.414           133.770             0.000             0.000             0.000             0.008             0.000             0.008
           1.190             0.000             1.190             0.000           188.994             0.000            55.224           133.770             0.000             0.000             0.000             0.008             0.000             0.008
           1.284             0.000             1.284             0.000           187.710             0.000            53.940           133.770             0.000             0.000             0.000             0.007             0.000             0.007
           1.079             0.000             1.079             0.000           186.630             0.000            52.860           133.770             0.000             0.000             0.000             0.007             0.000             0.007
           1.204             1.200             0.004             0.000           186.627             0.000            52.857           133.770             0.000             0.000             0.000             0.007             0.000             0.007
           1.143             0.000             1.143             0.000           185.483             0.000            51.713           133.770             0.000             0.000             0.000             0.007             0.000             0.007
           0.671             0.000             0.671             0.000           184.812             0.000            51.042           133.770             0.000             0.000             0.000             0.007             0.000             0.007
           1.049             0.000             1.049             0.000           183.763             0.000            49.993           133.770             0.000             0.000             0.000             0.007             0.000             0.007
           0.753             0.753             0.000             0.000           183.862             0.099            49.993           133.770             0.148             0.048             0.100             0.020             0.011             0.009
           0.339             0.339             0.000             0.000           184.047             0.284            49.993           133.770             0.277             0.089             0.187             0.046             0.034             0.012
           0.487             0.384             0.103             0.000           183.660             0.000            49.890           133.770             0.000             0.000             0.000             0.046             0.034             0.012
           0.414             0.414             0.000             0.000           184.215             0.555            49.890           133.770             0.831             0.268             0.562             0.107             0.084             0.023
           0.527             0.527             0.000             0.000           184.188             0.528            49.890           133.770             0.000             0.000             0.000             0.112             0.090             0.022
           0.798             0.628             0.171             0.000           183.490             0.000            49.720           133.770             0.000             0.000             0.000             0.080             0.058             0.022
           0.726             0.000             0.726             0.000           182.764             0.000            48.994           133.770             0.000             0.000             0.000             0.059             0.038             0.021
           1.280             1.280             0.000             0.000           183.217             0.453            48.994           133.770             0.667             0.217             0.450             0.104             0.075             0.030
           0.602             0.602             0.000             0.000           183.779             1.015            48.994           133.770             0.835             0.271             0.565             0.180             0.139             0.040
           1.054             1.054             0.000             0.000           183.797             1.033            48.994           133.770             0.027             0.009             0.019             0.167             0.127             0.040
           1.233             1.033             0.200             0.000           182.564             0.000            48.794           133.770             0.000             0.000             0.000             0.122             0.083             0.039
           0.871             0.000             0.871             0.000           181.693             0.000            47.923           133.770             0.000             0.000             0.000             0.091             0.052             0.038
           0.985             0.000             0.985             0.000           180.708             0.000            46.938           133.770             0.000             0.000             0.000             0.070             0.032             0.038
           0.990             0.000             0.990             0.000           179.718             0.000            45.948           133.770             0.000             0.000             0.000             0.058             0.021             0.037
           1.118             0.000             1.118             0.000           178.600             0.000            44.830           133.770             0.000             0.000             0.000             0.050             0.014             0.036
           1.018             0.000             1.018             0.000           177.582             0.000            43.812           133.770             0.000             0.000             0.000             0.043             0.008             0.035
           1.090             0.000             1.090             0.000           176.492             0.000            42.722           133.770             0.000             0.000             0.000             0.037             0.002             0.035
           0.809             0.000             0.809             0.000           175.684             0.000            41.914           133.770             0.000             0.000             0.000             0.034             0.000             0.034
           0.816             0.400             0.416             0.000           175.267             0.000            41.497           133.770             0.000             0.000             0.000             0.033             0.000             0.033
           1.279             0.000             1.279             0.000           173.988             0.000            40.218           133.770             0.000             0.000             0.000             0.033             0.000             0.033
           0.739             0.000             0.739             0.000           173.248             0.000            39.479           133.770             0.000             0.000             0.000             0.032             0.000             0.032
           0.747             0.000             0.747             0.000           172.501             0.000            38.731           133.770             0.000             0.000             0.000             0.031             0.000             0.031
           0.670             0.000             0.670             0.000           171.831             0.000            38.061           133.770             0.000             0.000             0.000             0.031             0.000             0.031
           0.791             0.791             0.000             0.000           172.014             0.183            38.061           133.770             0.227             0.079             0.148             0.051             0.018             0.033
           0.614             0.583             0.031             0.000           171.800             0.000            38.030           133.770             0.000             0.000             0.000             0.055             0.022             0.032
           0.370             0.000             0.370             0.000           171.429             0.000            37.659           133.770             0.000             0.000             0.000             0.046             0.014             0.032
           0.733             0.000             0.733             0.000           170.696             0.000            36.926           133.770             0.000             0.000             0.000             0.041             0.009             0.031
           1.506             1.506             0.000             0.000           171.456             0.760            36.926           133.770             0.934             0.328             0.606             0.125             0.082             0.042
           0.151             0.151             0.000             0.000           172.991             2.294            36.926           133.770             1.915             0.668             1.247             0.317             0.251             0.066
           1.657             1.657             0.000             0.000           172.534             1.838            36.926           133.770             0.000             0.000             0.000             0.315             0.250             0.065
           1.318             1.318             0.000             0.000           171.216             0.520            36.926           133.770             0.000             0.000             0.000             0.226             0.162             0.064
           1.023             0.520             0.503             0.000           170.193             0.000            36.423           133.770             0.000             0.000             0.000             0.167             0.104             0.062
           0.827             0.000             0.827             0.000           169.366             0.000            35.596           133.770             0.000             0.000             0.000             0.128             0.067             0.061
           1.020             0.000             1.020             0.000           168.346             0.000            34.576           133.770             0.000             0.000             0.000             0.103             0.044             0.060
           0.804             0.000             0.804             0.000           167.542             0.000            33.772           133.770             0.000             0.000             0.000             0.087             0.028             0.059
           0.113             0.113             0.000             0.000           169.003             1.461            33.772           133.770             1.726             0.617             1.109             0.239             0.160             0.079
           0.527             0.527             0.000             0.000           169.400             1.858            33.772           133.770             0.476             0.169             0.307             0.302             0.218             0.084
           1.318             1.318             0.000             0.000           169.182             1.640            33.772           133.770             0.000             0.000             0.000             0.242             0.160             0.082
           0.941             0.941             0.000             0.000           168.241             0.699            33.772           133.770             0.000             0.000             0.000             0.184             0.104             0.081
           0.828             0.828             0.000             0.000           168.868             1.327            33.772           133.770             0.744             0.266             0.479             0.217             0.129             0.088
           1.318             1.318             0.000             0.000           167.551             0.009            33.772           133.770             0.000             0.000             0.000             0.205             0.118             0.087
           1.301             0.009             1.292             0.000           166.249             0.000            32.480           133.770             0.000             0.000             0.000             0.161             0.077             0.085
           1.177             0.000             1.177             0.000           165.073             0.000            31.303           133.770             0.000             0.000             0.000             0.133             0.050             0.083
           1.066             0.000             1.066             0.000           164.006             0.000            30.236           133.770             0.000             0.000             0.000             0.110             0.029             0.082
