 Index   Temp   Variable_0   Variable_1   Variable_2   Variable_3   Variable_4   Variable_5   Variable_6   Variable_7   Variable_8   Variable_9 Objective   Seconds
         136.000            992.000              0.642              0.426              0.691             28.569             86.438            103.259              0.071             10.404              0.091              1.931            337.702              0.561   
         137.000            992.000              0.527              0.171              0.700              5.342             80.808            188.000              0.193              8.213              0.420              3.566            433.866              0.564   
         138.000            992.000              0.444              0.148              0.839             27.332             85.869            172.339              0.164             15.057              0.376              4.530            430.509              0.566   
         139.000            992.000              0.366              0.187              0.723              7.084             93.291             84.372              0.206              4.416              0.092              4.245            491.081              0.569   
         140.000            992.000              0.690              0.350              0.914              9.407             79.676            153.847              0.067             34.345              0.706              3.923            516.769              0.573   
         141.000            992.000              0.537              0.316              0.992              7.242             64.561            186.686              0.101             11.739              0.906              3.391            567.097              0.576   
         142.000            992.000              0.713              0.409              0.631             12.974             88.931            128.952              0.115              7.403              0.769              2.006            391.938              0.580   
         143.000            992.000              0.445              0.191              0.787             24.472             88.712            186.292              0.086             17.377              0.798              5.443            615.911              0.584   
         144.000            992.000              0.447              0.464              0.200              8.785             94.078            181.894              0.135             49.141              0.482              4.079            421.559              0.587   
         145.000            992.000              0.803              0.273              0.538              8.500             62.952            116.799              0.042             38.653              0.847              3.715            497.033              0.590   
         146.000            991.000              0.801              0.385              0.597             13.207             99.010             64.436              0.107              9.395              0.486              4.603            183.213              0.593   
         147.000            991.000              0.039              0.455              0.196              6.161             87.472            196.999              0.189              0.534              0.952              5.129          -4389.602              0.595   
         148.000            991.000              0.559              0.391              0.208             28.612             95.768            125.928              0.190             38.837              0.732              4.156            539.506              0.596   
         149.000            991.000              0.413              0.132              0.900             16.306             70.948             61.423              0.279             49.365              0.216              3.289            248.131              0.599   
         150.000            991.000              0.922              0.216              0.336              6.863             58.652            152.327              0.025             47.515              0.620              5.243            453.391              0.602   
         151.000            991.000              0.796              0.409              0.042             29.917             96.604            179.974              0.058             12.560              0.934              2.655            476.258              0.604   
         152.000            991.000              0.491              0.310              0.129              9.661             61.192             71.991              0.137             22.501              0.282              5.163            546.584              0.607   
         153.000            991.000              0.493              0.219              0.579             16.062             87.860            147.792              0.086             28.180              0.476              1.354            167.943              0.608   
         154.000            991.000              0.189              0.334              0.425             19.334             56.498            117.346              0.056             10.710              0.754              5.579           -254.539              0.610   
         155.000            991.000              0.771              0.233              0.257             26.844             78.653            121.093              0.241              3.932              0.727              4.514           -369.629              0.612   
         156.000            991.000              0.158              0.234              0.529             23.373             61.773            151.988              0.112             28.492              0.220              1.125          -2527.831              0.613   
         157.000            991.000              0.682              0.189              0.596             29.549             90.620            195.072              0.130             47.212              0.136              5.103            -27.498              0.616   
         158.000            991.000              0.468              0.068              0.304             21.172             61.193             62.035              0.152             28.136              0.437              5.987            171.813              0.620   
